league_code,date,home_team,away_team,home_goals,away_goals,full_time_result_code,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,source_file,season,league,match_result,goal_difference,shot_difference,shots_on_target_difference,corner_difference,foul_difference,yellow_card_difference,red_card_difference,home_matches_played_before,home_win_rate_before,home_goals_scored_last_5,home_goals_conceded_last_5,home_points_last_5,home_rest_days,away_matches_played_before,away_win_rate_before,away_goals_scored_last_5,away_goals_conceded_last_5,away_points_last_5,away_rest_days,home_advantage,team_experience_difference,win_rate_before_difference,goals_scored_last_5_difference,goals_conceded_last_5_difference,points_last_5_difference
SP1,2021-08-14,Cadiz,Levante,1,1,D,7.0,12.0,2.0,3.0,10.0,16.0,2.0,4.0,1.0,5.0,0.0,0.0,2122_sp1.csv,2122,Spain La Liga,Draw,0,-5.0,-1.0,-2.0,-6.0,-4.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
SP1,2021-08-14,Mallorca,Betis,1,1,D,6.0,10.0,2.0,1.0,12.0,18.0,4.0,3.0,1.0,3.0,0.0,0.0,2122_sp1.csv,2122,Spain La Liga,Draw,0,-4.0,1.0,1.0,-6.0,-2.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
SP1,2021-08-14,Osasuna,Espanol,0,0,D,14.0,10.0,1.0,3.0,18.0,12.0,4.0,6.0,3.0,3.0,0.0,0.0,2122_sp1.csv,2122,Spain La Liga,Draw,0,4.0,-2.0,-2.0,6.0,0.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
D1,2021-08-15,FC Koln,Hertha,3,1,H,15.0,11.0,5.0,5.0,18.0,14.0,4.0,5.0,4.0,2.0,0.0,0.0,2122_d1.csv,2122,Germany Bundesliga,Home Win,2,4.0,0.0,-1.0,4.0,2.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
D1,2021-08-15,Mainz,RB Leipzig,1,0,H,7.0,15.0,2.0,2.0,10.0,8.0,5.0,11.0,1.0,2.0,0.0,0.0,2122_d1.csv,2122,Germany Bundesliga,Home Win,1,-8.0,0.0,-6.0,2.0,-1.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
E0,2021-08-15,Newcastle,West Ham,2,4,A,17.0,8.0,3.0,9.0,4.0,3.0,7.0,6.0,1.0,0.0,0.0,0.0,2122_e0.csv,2122,England Premier League,Away Win,-2,9.0,-6.0,1.0,1.0,1.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
E0,2021-08-15,Tottenham,Man City,1,0,H,13.0,18.0,3.0,4.0,11.0,8.0,3.0,11.0,2.0,1.0,0.0,0.0,2122_e0.csv,2122,England Premier League,Home Win,1,-5.0,-1.0,-8.0,3.0,1.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
F1,2021-08-15,Angers,Lyon,3,0,H,13.0,8.0,6.0,3.0,11.0,17.0,6.0,4.0,1.0,5.0,0.0,1.0,2122_f1.csv,2122,France Ligue 1,Home Win,3,5.0,3.0,2.0,-6.0,-4.0,-1.0,1.0,1.0,2.0,0.0,3.0,7.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,1.0,1.0,-1.0,2.0
F1,2021-08-15,Brest,Rennes,1,1,D,10.0,6.0,5.0,2.0,7.0,16.0,6.0,11.0,2.0,3.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Draw,0,4.0,3.0,-5.0,-9.0,-1.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
F1,2021-08-15,Clermont,Troyes,2,0,H,18.0,6.0,8.0,1.0,6.0,11.0,9.0,2.0,1.0,3.0,0.0,1.0,2122_f1.csv,2122,France Ligue 1,Home Win,2,12.0,7.0,7.0,-5.0,-2.0,-1.0,1.0,1.0,2.0,0.0,3.0,7.0,1.0,0.0,1.0,2.0,0.0,8.0,1.0,0.0,1.0,1.0,-2.0,3.0
F1,2021-08-15,Lens,St Etienne,2,2,D,22.0,12.0,7.0,7.0,10.0,17.0,7.0,2.0,1.0,6.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Draw,0,10.0,0.0,5.0,-7.0,-5.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
F1,2021-08-15,Marseille,Bordeaux,2,2,D,10.0,8.0,2.0,2.0,6.0,11.0,3.0,4.0,2.0,2.0,1.0,0.0,2122_f1.csv,2122,France Ligue 1,Draw,0,2.0,0.0,-1.0,-5.0,0.0,1.0,1.0,1.0,3.0,2.0,3.0,7.0,1.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,1.0,3.0,0.0,3.0
F1,2021-08-15,Nantes,Metz,2,0,H,11.0,10.0,7.0,5.0,18.0,11.0,6.0,6.0,2.0,0.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Home Win,2,1.0,2.0,0.0,7.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,9.0,1.0,0.0,3.0,3.0,1.0,7.0,1.0,0.0,0.0,-2.0,-2.0,0.0
F1,2021-08-15,Reims,Montpellier,3,3,D,19.0,15.0,9.0,5.0,11.0,12.0,8.0,7.0,2.0,1.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Draw,0,4.0,4.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,2.0,3.0,0.0,7.0,1.0,0.0,0.0,-2.0,-3.0,1.0
SP1,2021-08-15,Barcelona,Sociedad,4,2,H,13.0,11.0,8.0,3.0,11.0,18.0,5.0,3.0,2.0,4.0,0.0,0.0,2122_sp1.csv,2122,Spain La Liga,Home Win,2,2.0,5.0,2.0,-7.0,-2.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
SP1,2021-08-15,Celta,Ath Madrid,1,2,A,10.0,13.0,2.0,4.0,11.0,9.0,2.0,5.0,4.0,5.0,1.0,1.0,2122_sp1.csv,2122,Spain La Liga,Away Win,-1,-3.0,-2.0,-3.0,2.0,-1.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
SP1,2021-08-15,Sevilla,Vallecano,3,0,H,21.0,4.0,8.0,3.0,14.0,7.0,4.0,0.0,1.0,0.0,0.0,1.0,2122_sp1.csv,2122,Spain La Liga,Home Win,3,17.0,5.0,4.0,7.0,1.0,-1.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
SP1,2021-08-16,Elche,Ath Bilbao,0,0,D,8.0,9.0,2.0,3.0,13.0,19.0,6.0,8.0,2.0,2.0,0.0,0.0,2122_sp1.csv,2122,Spain La Liga,Draw,0,-1.0,-1.0,-2.0,-6.0,0.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
SP1,2021-08-16,Villarreal,Granada,0,0,D,14.0,6.0,4.0,1.0,19.0,21.0,6.0,2.0,5.0,1.0,1.0,0.0,2122_sp1.csv,2122,Spain La Liga,Draw,0,8.0,3.0,4.0,-2.0,4.0,1.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
